"ПРОДУКТ","","","","","ЭТАПЫ ПРОДАЖ","","","","","","ОТРАБОТКА ВОЗРАЖЕНИЙ","","",""
"Товар","Для чего аппарат","Описание","Какое результат получает клиент","Принцип действия","Этап","","Цель этапа","Фразы","Цель вопроса","Особенность","Возражение","Что на самом деле ","Что нужно сделать","Пример фразы"
"Трэвел подушка","Для путешествий, для комфортного выполнения упражнений","Подушка надувается и сдувается благодаря встроенному клапану-насосу (груша). Так вы сможете накачать подушку всего лишь несколькими нажатиями и с помощью специального клапана на задней стороне подушки, сдуть изделие.","","","","","","Исходя из вашей дейтельности после работы/физической нагрузки  (указать деятельноть клиента), мышцы позвоночника находятся в гипертонусе, происходит спазм мышцы от этого возникают болевые ощущения","Показать что предпринятое действие не может помочь, из-за не воздействия на глубокие мышцы","","А он точно поможет","Не понимание за счет чего поможет. Нет информации доказательной эфективности","Объяснить принцип действия и сообщить о доказанной клинической эффективности","Правильно что вы делаете акцент на эфективности , Методика Cordus Sacrus  запатентова с 2010 года воздействует на причину боли, за счет гравитационной терапии снимая спазмированность глубоких мышц. Такого эффекта не удается достичь ни одним известным аппаратом в мире, методика запатентованная в 48 странах  с доказанной клинической эффективностью в 78-94%. С 2012г более 250 клиник и оздоровительных центров по всему миру и 180 000 семей оценили результат терапии позвоночника аппартами Cordus и Sacrus."
"МАСКА ДЛЯ СНА CORDUS 3D","Маска для сна CORDUS 3D разработана таким образом, чтобы полностью блокировать свет и обеспечить максимальный комфорт и расслабление для полноценного сна. Ее анатомическая форма позволяет полностью восстановить силы во время отдыха и расслабиться.","","","","","","","Если боли возникают преимущественно с утра или после длительной неподвижности - то  это связано (помимо спазмированности мышц) ещё и с артритом в суставах посницы (проблемной зоны). Поэтому в вашем случае необходима более интенсивная проработка мышц и нейростимуляция проблемной зоны. Это позволит быстрее снять спазм, уменьшить локальный отёк и вернуть нормальный тонус нервной системы.","Подводим к важности PHYSIO моделей и необходимости питания","","А он не навредит","Нет понимания методики","Показать безопасность объяснить принцип действия","Хорошо, что вы понимаете, что терапия должна быть безопасной. методика Cordus Sacrus c 2012 года  запатентованная в 48 странах и заметьте!!!!  с доказанной клинической эффективностью в 78-94% и наличием медицинского регистрационного удостоверения, что говорит о том, что аппараты безопасны, (кроме редких случаев когда противопоказан массаж). Т.к. воздействие происхоит под весом собственного тела, а вершины сделаны из термоэластопласта, который по плотности максимально близкий к плотности мышцы."
"","","","","","5","Выявление осведомленности о методике CORDUS+SACRUS","Понять на сколько знаком с методикой для формирования стратегии переговоров","Что уже знаете о наших аппаратах? 
Что уже знаете о нашей методике CORDUS+SACRUS?","Оценка лояльности","","Мне нужно подумать","Нет уверенности в необходимости аппарата","Выявить причину сомнения","""Имя"", расскажите а какие у Вас сомнения? "
"","","","","","6","Презентация методики  Sacrus+Cordus","Как методика Sacrus+Cordus решит проблему","Методика CORDUS+SACRUS воздействует на причину боли, аппараты добираются до спазмированных мышц, проникая на глубину до 3 см и расслабляют их. Тем самым (выбрать 3 варианта, подходящих под случай клиента):
- У Вас устраняется компрессия диска и нерва 
- У Вас выравнивается тонус мышц
- У Вас устраняется избыточная нагрузку на позвоночник/суставы. 
- У Вас улучшается кровоток в проблемном месте
- У Вас обеспечивается регенерация хрящевой ткани и уменьшается грыжа (если у клиента есть грыжа)
- У Вас уменьшается спазм мышц
Необходимо комплексно провести терапию этих глубоких мышц позвоночника, улучшить питание дисков и суставов, укрепить мышечный корсет с лечебными упражнениями  и обязательнос это закрепить функциональным витаминным питанием CHONDROPROTECTOR CORDUS, на основе растительного белка, который легко усваивается и улучшает состояние суставов и позвоночника.","Скорректировать/ подтвердить понимание методики со стороны клиенты. Подтвердить принципом воздействия. Скорее всего клиент не знает за счет чего помогает.","Мы говорим, клиент слушает. При презентации акцент на решение боли КЛИЕНТА. Всё приемущества не нужно!!!!","Дорого, за кусок пластмассы","Не понимание ценности аппарата","Показать ценность аппаратов ","Аппараты производятся по дорогостоящей технологии двухкомпонентного литья : пластик и термоэластопласт. До выпуска данного аппарата была проведена огромная работа (анализ, разработка, исследование, сертификация) в несколько лет для получения действительно полезного продукта. Ценность данного аппарата для любого человека намного выше  стоимости апппарата, т.к. может решить проблемы, с которомы мучались годами и может полностью заменить дорогостоящие многократные походы на массаж. Приобретая один раз аппарат вы получаете персонального домашнего мунуальщика для всей семьи."
"","","","","","7","Доп продажа","Объяснить пользу от комплексного применения физио аппаратов + питание","В Вашем случае (возраст от 35 лет; артрит, артроз, сильная спазмированность) идеально использовать Cordus Vibro и Sacrus Phisio и закрепить питанием  CHONDROPROTECTOR CORDUS. 
Потому что:
Cordus Vibro с вибрацией Имеет 3 стороны, адаптированные для шейного, грудного, и поясничного отделов позвоночника, дополнительно 2 режима вибрации сильнее и эффективнее воздействуют на спазмированные мышцы, нормализуют работу  нервной системы, снимают нервно-психическое напряжение и улучшают сон.
Sacrus Phisio с вибрацией и микротоковой стимуляцией разработан, для терапии крестца, копчика, тазобедренного сустава, коленей и зоны атланта, дополнительно режимы вибрации облегчают процесс расслабления напряженных мышц и связок, а микротоки альфа-модуляции (8-16 Гц) нормализуют работу нервной системы.
CHONDROPROTECTOR CORDUS  поможет в комплексной терапии восстановить структуру суствного хряща, уменьшить износ суставов, снизить восполительные процессы, укрепить иммунитет","Подводим к выбору аппаратов и приобритению питания","На этом этапе готовы к возражениям ","Дорого","Не понимание ценности методики","Показать ценность методики","Цена любой покупки должна быть разумной, В данном случае Вы устраняет причину боли за 5000 - 12000 руб. , что другие аппараты  не способны реализовать, а у мануальщика нужно будет пройти минимум три сеанса стоимостью от 10 до  15 т. Руб"
"","","","","","8","Усиление эффекта","Предоставляем доказательную базу","Методика Cordus+Sacrus - это запатентованная в 48 странах методика комплексной терапии позвоночника с доказанной клинической эффективностью в 78-94% (зависит от возраста и вида дисфункции позвоночника). С 2012г более 250 клиник и оздоровительных центров по всему миру и 180 000 семей оценили результат терапии позвоночника аппартами Cordus и Sacrus. Аппараты получили медицинские регистрационные удостоверения, таким образом они безопасны, а их эффективность доказана многочисленными исследованиями.","Снять оставшиеся сомнения клиента","Проговариваем этот этап, если клиент выражает сомнение по эффективности.
Если чувствуем сами не готовность или клиента","Дорого,я  закажу на МП/ (у официального дилера)","Стремление к выгоде","Проверяем истинность возражения (убедится , что клиент действительно готов приобрести, но сейчас ищет возможность доп скидки)","Действительно иногда, цены на МП бывают ниже чем на сайте, т.к. ценообразование на МП регулирует сам МП. А какая цена сейчас на МП у Вас? Эта цена с Озон картой/WB кошельком? (Нужно убедиться в том что клиент видит правильную цену). дорогостоющей "
"","","","","","9","Завершение сделки","Перейти к продаже здесь и сейчас","При оформлении и оплаты  заказ сейчас я могу предоставить дополнительную скидку 5%
Так же могу сделать дополнительную скидку 10% от себя
Дополнительно в качестве подарка я Вам отправлю (анатомическую маску для сна, тревел подушку для путешествий с клапаном для накачивания)
","Дожим клиента с помощью бонусов","Начинаем озвучивать цену с более дорогой модели.
На этом этапе у клиента не должно быть сомнений по эффективности методики
Сразу все бонусы не выдаем. Озвучиваем дозировано по очереди.
НО главное цель: Закрыть успешно сделку!!! Используем все козыри","Пока нет денег","Клиент хочет купить, но финансовые трудности","Убедиться, что возражение не ложное. Взять обязательство на заказ при изменении фин ситуации","Я могу Вам сейчас согласовать доп скидку, чтобы Вам было комфортнее воспользоваться методикой в ближайшее время. Я могу Вам позвонить через 2 недели , когда у Вас изменится ситуация."
"","","","","","","","","Готовы оформить заказ?","Сделка близко","","Мне не нужна версия с вибрацией","Нет понимаение ценности","Объяснить приемущества от Вибро версий","Вы хотите обойтись только магнитотерапией или Вам не понятно приемущество режимов вибрации? Режимы вибрации у физиотерапевтических моделей  аппаратов (Cordus vibro и Sacrus physio) дополнительно позволяют ускорить релаксацию и улучшить подвижность в суставе.Вибрация  аппаратах Cordus Sacrus низко амплитудная, ее задача расслабить мышцу и снять спазм, а не расшатать.  А нейростимуляция обеспечивает восстановление проводимости по ранее компремированным нервам и активирует процессы саморегуляции на фоне релаксации нервонй системы. В возрасте после 40 лет  уже необходимо физиомодели, т.к. формируются застойные процессы которые лучше разбиваются с помощью нейростимуляции."
"","","","","","10","Перенос сделки","Договорится на повторный звонок","Я вам позвоню на следующей неделе …. числа, для уточнения результата и сохранения скидки","Необходимо обозначить дату и время повторного звонка, для того чтобы клиент ждал звонок и  был готов.","Всегда предлагать дату и время звонка самостоятельно. Не спрашивать у клиента когда можно позвонить? Т.к. есть вероятность тогда что клиент ответит ""никогда, я сам перезвоню""","Я не готов сейчас приобретать комплект аппаратов","Нет понимаение ценности","Объяснить пользу от комплексного применения","Это касается только финансового вопроса или Вы считаете что Вам нужен только один аппарат? Как имея лишь выбранную модель сможете устранить ""проблему зоны тела, которая не польщуВсе отделы позвоночника биомеханически связаны с друг другом. Например, боль в шее часто обусловлена напряжением в области  поясницы. Поэтому Совместное использование аппаратов Cordus и Sacrus усиливает эффект на 40-50%, к тому же приобретение комплекта выгонее примерно на 15 % чем покупать аппараты по отдельности."
"","","","","","","","","","","","Куплю такой же соседнем магазине","Не доверии к удаленной покупке","Выразить сомнение в оригинальсности продукции в соседнем магазине. Дать гарантию производителя","В настоящее время фиксируются случаи продажи поддельной продукции. Сообщите пжста название магазина,в котором планируете приобрести аппараты. К сожалению данный магазин отсуствует среди официальных партнеров, поэтому не рекомендуем приобретение аппаратов в этом магазине, т.к. это может навредить Вашему здоровью."
"","","","","","","","","","","","Читал негативные отзывы на маркетплейсе","Сомнения в эффективности","Объяснить причину негативных отзывов","Основная часть негативных отзывов на маркетплейсе связана с тем, что не применяются рекомендации по применению методики. И бОльшая часть людей далее меняют свои мнение после проведенного качественного курса. Если бы мы не были уверены в своей методике, разве мы дали ли гарантию результата? А если вы действительно не почувствуете ни какого облегчения после правильного курса, то мы готовы вернуть Вам деньги за аппараты."
"","","","","","","","","","","","Нет положительного эффекта","Не понимание сути методики","Понять как применяли методику. Какие ощущения испытывает. Какие ощущения ожидает","Для того чтобы скорректировать и понять причину расскажите как часто и сколько занятий и какие занятия делали?При применении аппаратов какие ощущения испытывали во время и после применения? А какой результат ожидали?"
"","","","","","","","","","","","Я после операции","Убеждение , что все решено","Объяснить про возможные последствия","В 68%  случаях после операции возникает некоторое осложнение и для их предотварщения необходимо использовать профессиональные средства проработки мышц позвоника, кроме того профессиогнальный невролог скажет если теперь не заниматься то в течении 3-5 лет рядом возникнет новая грыжа.
Операционное решение - это краткосрочное решение, т.к. рядом может возникнуть новая гружа, и Вы вновь будете страдать от боли, для этого необходимо устранять причину возникновения грыжжи, а именно спазмированности мышц. 
Спустя месяц нужно заниматься на соседних участках. "
"","","","","","","","","","","","Кроме операции ничего не поможет","Не знает , как еще решить проблему","Расказать о самых бехболезненных вариантах решения проблемы","Существуют случаи, когда без оперативного вмешательства – не обойтись.  Обычно это секвестированная грыжа, части которой попадают в позвоночный канал. Или грыжа более 8мм с длительным онемением в конечности и резким снижением тонуса мышц этой ноги или руки.
Опреация это КРАТКОСРОЧНОЕ решение , т.к. из практике если ничего не делать в течение нескольких лет рядом возникает новая грыжа и вы опять страдаете от боли почти в том же месте. "
